origin,population
Aboriginal from Central/South America (except Arawak and Maya),0.0
Afghanistan,0.0
Akan,0.0
Albania,50.0
Algeria,0.0
Angola,0.0
Antigua and Barbuda,0.0
"Arab, n.o.c",0.0
Arawak,10.0
Argentina,20.0
Armenia,35.0
Ashanti,0.0
Assyrian,0.0
Australia,0.0
Austria,0.0
Azerbaijan,0.0
Bangladesh,0.0
"Bantu, n.o.c",0.0
Barbados,0.0
Belarus,45.0
Belgium,10.0
Belize,0.0
Benin,0.0
Berber,0.0
Bermuda,0.0
Bhutan,0.0
"Black, n.o.c.",0.0
Bolivia,15.0
Bosnia,500.0
Brazil,0.0
"British Isles origins, n.o.c",5440.0
Bulgaria,90.0
Burkina Faso,0.0
Burundi,10.0
Cambodia,20.0
Cameroon,0.0
Canada,73795.0
Caribbean,0.0
"Caribbean origins, n.o.c",0.0
"Central and South American origins, n.o.c",0.0
"Central and West African origins, n.o.c",25.0
Chad,0.0
Chile,15.0
China,20.0
Colombia,0.0
Coptic,0.0
Costa Rica,0.0
Croatia,0.0
Cuba,80.0
Cyprus,20.0
Czech Republic,40.0
"Czechoslovakian, n.o.c",0.0
DR Congo,25.0
Denmark,110.0
Dinka,10.0
Djibouti,0.0
Dominican Republic,10.0
"East and Southeast Asian origins, n.o.c",10.0
"Eastern European origins, n.o.c",0.0
Ecuador,0.0
Egypt,0.0
El Salvador,0.0
Eritrea,0.0
Estonia,390.0
Ethiopia,0.0
Fiji,0.0
Finland,1070.0
France,1810.0
Gabon,0.0
Georgia,0.0
Germany,3825.0
Ghana,0.0
Greece,0.0
Grenada,0.0
Guadeloupe,0.0
Guatemala,55.0
Guinea,0.0
Guyana,0.0
Haiti,0.0
Harari,0.0
Hazara,10.0
Hispanic,0.0
Hmong,0.0
Honduras,0.0
Hungary,30.0
Iceland,20.0
India,575.0
Indonesia,0.0
Iran,0.0
Iraq,0.0
Ireland,5525.0
Israel,0.0
Italy,210.0
Ivory Coast,0.0
Jamaica,0.0
Japan,0.0
Jordan,195.0
Karen,0.0
Kazakhstan,0.0
Kenya,0.0
Kosovo,20.0
Kurdistan,0.0
Kuwait,10.0
Kyrgyzstan,25.0
Laos,15.0
Latvia,155.0
Lebanon,0.0
Liberia,0.0
Libya,30.0
Lithuania,30.0
Luxembourg,220.0
Madagascar,15.0
Malaysia,0.0
Mali,0.0
Malinké,0.0
Malta,0.0
Martinique,0.0
Mauritania,60.0
Mauritius,15.0
Maya,0.0
Mexico,0.0
Moldova,365.0
Mongolia,0.0
Montenegro,155.0
Montserrat,0.0
Morocco,0.0
Myanmar (Burma),0.0
Nepal,0.0
Netherlands,255.0
New Zealand,0.0
Nicaragua,0.0
Nigeria,15.0
"North African origins, n.o.c",0.0
North Macedonia,0.0
"Northern European origins, n.o.c ",10.0
Norway,40.0
Oromo,0.0
"Other African origins, n.o.c",0.0
"Other Asian origins, n.o.c",0.0
"Other European origins, n.o.c",0.0
"Other North American origins, n.o.c",10.0
"Pacific Islands origins, n.o.c",0.0
Pakistan,0.0
Palestine,0.0
Panama,0.0
Paraguay,10.0
Pashtun,20.0
Peru,685.0
Peulh,0.0
Philippines,25.0
Poland,10.0
"Polynesian, n.o.c",0.0
Portugal,0.0
Puerto Rico,30.0
Roma,15.0
Romania,890.0
Russia,0.0
Rwanda,0.0
Saint Kitts and Nevis,10.0
Saint Lucia,120.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
Saudi Arabia,0.0
Senegal,0.0
Serbia,0.0
Seychelles,0.0
Sierra Leone,60.0
Singapore,0.0
"Slavic, n.o.c",0.0
Slovakia,0.0
Slovenia,35.0
Somalia,0.0
South Africa,0.0
"South Asian origins, n.o.c",0.0
South Korea,0.0
"Southern European origins, n.o.c",75.0
"Southern and East African origins, n.o.c",15.0
Spain,145.0
Sri Lanka,205.0
Sudan,0.0
Sweden,25.0
Switzerland,225.0
Syria,0.0
Taiwan,55.0
Tajikistan,0.0
Tanzania,0.0
Tatar,0.0
Thailand,55.0
The Bahamas,0.0
The Gambia,0.0
Tigria,30.0
Togo,0.0
Trinidad and Tobago,0.0
Tunisia,0.0
Turkey,0.0
Turkmenistan,275.0
Uganda,520.0
Ukraine,35.0
United Kingdom,23205.0
United States,0.0
Uruguay,10.0
Uzbekistan,15.0
Venezuela,0.0
Vietnam,0.0
"West Central Asian and Middle Eastern origins, n.o.c",0.0
"West India, n.o.c",0.0
Wolof,0.0
Yemen,185.0
"Yugoslavian, n.o.c",0.0
Zambia,400.0
Zimbabwe,1025.0
Zulu,15.0
origin,315.0
